True,Predicted,Count
HEALTHY LIVING,WELLNESS,338
PARENTS,PARENTING,202
THE WORLDPOST,WORLD NEWS,142
WORLD NEWS,THE WORLDPOST,136
BLACK VOICES,ENTERTAINMENT,115
ENTERTAINMENT,COMEDY,113
TASTE,FOOD & DRINK,103
COMEDY,ENTERTAINMENT,92
PARENTING,WELLNESS,91
MEDIA,POLITICS,86
FOOD & DRINK,TASTE,84
POLITICS,MEDIA,83
BUSINESS,POLITICS,77
WELLNESS,PARENTING,75
COMEDY,POLITICS,66
WORLDPOST,POLITICS,65
POLITICS,BLACK VOICES,63
BLACK VOICES,POLITICS,62
ENTERTAINMENT,POLITICS,59
IMPACT,WELLNESS,59
POLITICS,BUSINESS,57
QUEER VOICES,ENTERTAINMENT,56
BUSINESS,WELLNESS,55
POLITICS,ENTERTAINMENT,55
WOMEN,WELLNESS,54
BUSINESS,MONEY,54
WELLNESS,HEALTHY LIVING,54
ENVIRONMENT,GREEN,49
WEIRD NEWS,CRIME,49
POLITICS,WORLDPOST,48
U.S. NEWS,POLITICS,47
WOMEN,ENTERTAINMENT,47
FOOD & DRINK,WELLNESS,46
STYLE & BEAUTY,WELLNESS,46
WOMEN,POLITICS,45
POLITICS,COMEDY,44
GREEN,POLITICS,44
CRIME,POLITICS,44
STYLE,ENTERTAINMENT,44
QUEER VOICES,POLITICS,43
POLITICS,WOMEN,42
ARTS,ENTERTAINMENT,42
MONEY,BUSINESS,42
POLITICS,CRIME,40
ENTERTAINMENT,BLACK VOICES,40
RELIGION,POLITICS,40
FIFTY,WELLNESS,39
HEALTHY LIVING,POLITICS,38
POLITICS,GREEN,38
TECH,BUSINESS,37
WORLD NEWS,POLITICS,37
ARTS & CULTURE,ENTERTAINMENT,35
IMPACT,POLITICS,35
POLITICS,QUEER VOICES,35
THE WORLDPOST,POLITICS,34
POLITICS,WORLD NEWS,34
CULTURE & ARTS,ARTS,31
POLITICS,SPORTS,31
DIVORCE,WELLNESS,31
GOOD NEWS,WEIRD NEWS,31
SCIENCE,WELLNESS,30
POLITICS,HEALTHY LIVING,30
POLITICS,RELIGION,30
FOOD & DRINK,TRAVEL,29
WELLNESS,BUSINESS,29
POLITICS,LATINO VOICES,29
ENTERTAINMENT,SPORTS,29
TRAVEL,FOOD & DRINK,28
POLITICS,IMPACT,28
POLITICS,THE WORLDPOST,27
IMPACT,BUSINESS,27
LATINO VOICES,POLITICS,27
POLITICS,U.S. NEWS,27
STYLE,STYLE & BEAUTY,27
PARENTS,ENTERTAINMENT,26
U.S. NEWS,CRIME,26
WEIRD NEWS,COMEDY,25
BLACK VOICES,SPORTS,25
BUSINESS,TECH,25
TRAVEL,WELLNESS,23
DIVORCE,PARENTING,23
IMPACT,PARENTING,23
BLACK VOICES,STYLE & BEAUTY,23
SCIENCE,GREEN,22
STYLE & BEAUTY,HOME & LIVING,22
WEIRD NEWS,GREEN,22
BLACK VOICES,CRIME,21
